% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 3.9 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:03:36 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. Sine wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
1.4000000000e+00, 9.1405124151e-01, 1.5444859390e-03, 1.0112076578e+00, -5.2460794563e+00
1.4200000000e+00, 9.1290554271e-01, 1.3497967555e-03, 1.0114587997e+00, -5.5688216175e+00
1.4400000000e+00, 9.1273546108e-01, 1.2028751784e-03, 1.0115413073e+00, -5.8028798076e+00
1.4600000000e+00, 9.1270433976e-01, 1.1276050108e-03, 1.0117598803e+00, -5.9460626757e+00
1.4800000000e+00, 9.1293811153e-01, 1.0697048818e-03, 1.0117946204e+00, -5.9954338116e+00
1.5000000000e+00, 9.1228890633e-01, 1.0407548174e-03, 1.0116556601e+00, -5.9505695541e+00
1.5200000000e+00, 9.1261242331e-01, 1.1297762656e-03, 1.0116093400e+00, -5.8118643463e+00
1.5400000000e+00, 9.1206454334e-01, 1.2289302364e-03, 1.0115195948e+00, -5.5820938995e+00
1.5600000000e+00, 9.1290554271e-01, 1.3403879846e-03, 1.0111548240e+00, -5.2635737410e+00
1.5800000000e+00, 9.1215284103e-01, 1.5466571938e-03, 1.0109022347e+00, -4.8624323489e+00
1.6000000000e+00, 9.1283895756e-01, 1.7645064289e-03, 1.0105229888e+00, -4.3853898660e+00
1.6200000000e+00, 9.1314872325e-01, 2.0301232703e-03, 1.0101010416e+00, -3.8384432893e+00
1.6400000000e+00, 9.1376825463e-01, 2.3203476666e-03, 1.0096566581e+00, -3.2312929987e+00
1.6600000000e+00, 9.1416269926e-01, 2.6424171337e-03, 1.0092093796e+00, -2.5734859797e+00
1.6800000000e+00, 9.1452891757e-01, 2.9326415299e-03, 1.0085978095e+00, -1.8745107817e+00
1.7000000000e+00, 9.1513976393e-01, 3.2836610615e-03, 1.0081013159e+00, -1.1472379390e+00
1.7200000000e+00, 9.1572310773e-01, 3.6122442932e-03, 1.0074629670e+00, -4.0154313973e-01
1.7400000000e+00, 9.1631007029e-01, 3.9350375119e-03, 1.0068651482e+00, 3.5042622764e-01
1.7600000000e+00, 9.1675300627e-01, 4.2744770177e-03, 1.0061884404e+00, 1.0973262699e+00
1.7800000000e+00, 9.1719666601e-01, 4.5950989816e-03, 1.0055414065e+00, 1.8266370689e+00
1.8000000000e+00, 9.1749050917e-01, 4.9135496907e-03, 1.0050297141e+00, 2.5264157623e+00
1.8200000000e+00, 9.1833295604e-01, 5.2305528965e-03, 1.0045172979e+00, 3.1871884095e+00
1.8400000000e+00, 9.1873680944e-01, 5.4867609670e-03, 1.0040077768e+00, 3.7969464077e+00
1.8600000000e+00, 9.1906249767e-01, 5.6959251827e-03, 1.0034157480e+00, 4.3462523389e+00
1.8800000000e+00, 9.1964584147e-01, 5.8725205760e-03, 1.0029510995e+00, 4.8283422334e+00
1.9000000000e+00, 9.1980723808e-01, 6.0368121918e-03, 1.0027607528e+00, 5.2329386554e+00
1.9200000000e+00, 9.2007574992e-01, 6.0715522691e-03, 1.0023236068e+00, 5.5555420310e+00
1.9400000000e+00, 9.2031603546e-01, 6.1243861368e-03, 1.0020652275e+00, 5.7898777922e+00
1.9600000000e+00, 9.2011121375e-01, 6.1142536142e-03, 1.0019277147e+00, 5.9332578819e+00
1.9800000000e+00, 9.2061204987e-01, 5.9745695532e-03, 1.0016092640e+00, 5.9827239763e+00
2.0000000000e+00, 9.2001350728e-01, 5.8689018179e-03, 1.0016143302e+00, 5.9380350269e+00
2.0200000000e+00, 9.2013582131e-01, 5.6525000861e-03, 1.0016403853e+00, 5.7992932966e+00
2.0400000000e+00, 9.1998817598e-01, 5.4151095575e-03, 1.0016867054e+00, 5.5689019670e+00
2.0600000000e+00, 9.1972690165e-01, 5.1777190289e-03, 1.0019349522e+00, 5.2506959022e+00
2.0800000000e+00, 9.2016332387e-01, 4.8281470005e-03, 1.0020116699e+00, 4.8503726145e+00
2.1000000000e+00, 9.1938963340e-01, 4.4800224754e-03, 1.0022997230e+00, 4.3714747878e+00
2.1200000000e+00, 9.1976236548e-01, 4.1347929567e-03, 1.0027354215e+00, 3.8251271803e+00
2.1400000000e+00, 9.1934910331e-01, 3.7099507607e-03, 1.0030299884e+00, 3.2184370734e+00
2.1600000000e+00, 9.1897419997e-01, 3.2713572841e-03, 1.0034099580e+00, 2.5599142131e+00
2.1800000000e+00, 9.1882944965e-01, 2.8414488269e-03, 1.0039621805e+00, 1.8618009464e+00
2.2000000000e+00, 9.1845599382e-01, 2.3572589988e-03, 1.0044181440e+00, 1.1336223454e+00
2.2200000000e+00, 9.1830255848e-01, 1.9150467641e-03, 1.0050232003e+00, 3.8739431739e-01
2.2400000000e+00, 9.1789581007e-01, 1.4750057843e-03, 1.0055833841e+00, -3.6450930945e-01
2.2600000000e+00, 9.1729726749e-01, 1.0284510400e-03, 1.0060415188e+00, -1.1107884690e+00
2.2800000000e+00, 9.1684492273e-01, 6.3038765364e-04, 1.0065495925e+00, -1.8391058556e+00
2.3000000000e+00, 9.1656121210e-01, 2.6416933821e-04, 1.0071474113e+00, -2.5398633523e+00
2.3200000000e+00, 9.1594529948e-01, -9.5535212722e-05, 1.0075121821e+00, -3.1999128537e+00
2.3400000000e+00, 9.1561237374e-01, -3.3437324453e-04, 1.0081780336e+00, -3.8097658105e+00
2.3600000000e+00, 9.1526063045e-01, -5.8479130212e-04, 1.0086173508e+00, -4.3600359361e+00
2.3800000000e+00, 9.1490599216e-01, -7.5053042116e-04, 1.0091384520e+00, -4.8404238814e+00
2.4000000000e+00, 9.1449200624e-01, -8.4461813066e-04, 1.0094677590e+00, -5.2458018852e+00
2.4200000000e+00, 9.1443193486e-01, -8.9817574991e-04, 1.0098571373e+00, -5.5684344788e+00
2.4400000000e+00, 9.1414605297e-01, -9.1482203698e-04, 1.0100872903e+00, -5.8027044995e+00
